2,25,223.41,176.67,34.75,105.85,-1,-1,-1,-1
2,42,297.81,152.96,51.55,172.72,-1,-1,-1,-1
2,60,454.68,206.39,23.71,65.08,-1,-1,-1,-1
3,25,223.62,176.46,34.44,105.84,-1,-1,-1,-1
3,42,295.06,150.84,61.98,177.46,-1,-1,-1,-1
3,60,454.51,206.14,23.92,66.72,-1,-1,-1,-1
4,25,223.48,174.71,40.23,113.31,-1,-1,-1,-1
4,42,295.43,146.12,60.91,182.97,-1,-1,-1,-1
4,60,454.10,206.65,26.25,67.48,-1,-1,-1,-1
5,25,223.31,177.86,40.51,113.09,-1,-1,-1,-1
5,42,302.93,145.78,62.90,182.34,-1,-1,-1,-1
5,60,450.97,210.90,23.92,64.63,-1,-1,-1,-1
6,25,223.45,177.81,40.35,113.43,-1,-1,-1,-1
6,42,304.07,137.12,72.14,197.81,-1,-1,-1,-1
6,60,455.06,209.92,21.81,65.62,-1,-1,-1,-1
7,25,222.64,170.48,44.66,123.72,-1,-1,-1,-1
7,42,304.90,132.12,72.27,202.73,-1,-1,-1,-1
7,60,454.84,211.68,21.96,64.01,-1,-1,-1,-1
8,25,224.98,171.10,39.22,123.60,-1,-1,-1,-1
8,42,308.28,132.20,72.04,202.43,-1,-1,-1,-1
8,60,454.75,213.46,22.56,62.34,-1,-1,-1,-1
9,25,223.41,170.01,42.58,128.50,-1,-1,-1,-1
9,42,319.20,140.17,70.53,203.42,-1,-1,-1,-1
9,60,455.10,211.87,22.31,63.80,-1,-1,-1,-1
10,25,221.44,173.45,44.11,124.00,-1,-1,-1,-1
10,42,321.92,140.76,71.19,202.54,-1,-1,-1,-1
10,60,455.89,213.33,22.36,63.99,-1,-1,-1,-1
11,25,223.17,173.47,42.18,128.07,-1,-1,-1,-1
11,42,324.63,130.02,90.96,242.40,-1,-1,-1,-1
11,60,455.43,213.45,23.95,66.73,-1,-1,-1,-1
12,25,223.46,178.40,42.23,128.02,-1,-1,-1,-1
12,42,337.96,130.21,82.49,239.72,-1,-1,-1,-1
12,60,458.08,205.63,25.40,77.65,-1,-1,-1,-1
13,25,224.06,178.42,42.59,127.78,-1,-1,-1,-1
13,42,351.74,123.08,80.10,247.31,-1,-1,-1,-1
13,60,460.07,213.67,23.93,66.72,-1,-1,-1,-1
14,25,224.40,178.12,41.96,131.53,-1,-1,-1,-1
14,42,352.36,111.41,98.18,273.01,-1,-1,-1,-1
14,60,460.33,213.37,23.67,68.61,-1,-1,-1,-1
15,25,224.13,178.00,41.36,134.62,-1,-1,-1,-1
15,42,370.94,112.86,78.36,259.19,-1,-1,-1,-1
15,60,460.91,218.05,23.89,66.56,-1,-1,-1,-1
16,25,220.63,173.58,44.72,139.94,-1,-1,-1,-1
16,42,370.49,104.87,90.64,290.41,-1,-1,-1,-1
16,60,464.09,218.49,22.24,65.97,-1,-1,-1,-1
17,25,223.47,168.86,43.69,145.44,-1,-1,-1,-1
17,42,380.30,103.71,98.90,283.73,-1,-1,-1,-1
17,60,464.70,215.47,24.74,66.63,-1,-1,-1,-1
18,25,219.35,165.84,47.65,151.47,-1,-1,-1,-1
18,42,385.38,97.16,106.76,299.82,-1,-1,-1,-1
19,25,218.65,165.95,47.92,150.83,-1,-1,-1,-1
19,42,404.49,87.16,104.71,315.21,-1,-1,-1,-1
20,25,217.93,165.51,46.86,155.14,-1,-1,-1,-1
20,42,394.66,69.62,134.92,354.76,-1,-1,-1,-1
21,25,211.51,161.24,52.58,160.60,-1,-1,-1,-1
21,42,419.20,61.95,122.08,359.63,-1,-1,-1,-1
22,25,204.50,158.41,61.92,167.51,-1,-1,-1,-1
22,42,442.13,41.59,131.93,385.20,-1,-1,-1,-1
23,25,205.37,153.00,54.16,173.63,-1,-1,-1,-1
23,42,469.45,30.53,127.21,396.09,-1,-1,-1,-1
24,25,197.52,150.03,59.88,179.98,-1,-1,-1,-1
24,42,478.07,19.95,150.86,428.65,-1,-1,-1,-1
25,20,464.44,211.89,23.72,66.74,-1,-1,-1,-1
25,25,194.26,143.69,64.46,191.69,-1,-1,-1,-1
26,20,464.37,213.69,23.93,64.79,-1,-1,-1,-1
26,25,195.27,144.83,58.27,185.65,-1,-1,-1,-1
27,20,464.60,213.61,23.93,64.92,-1,-1,-1,-1
27,25,185.58,140.47,67.20,206.21,-1,-1,-1,-1
28,20,464.72,213.46,23.87,66.81,-1,-1,-1,-1
28,25,182.82,142.26,64.00,201.51,-1,-1,-1,-1
29,20,463.75,211.76,26.07,67.37,-1,-1,-1,-1
29,25,179.43,135.75,71.91,219.35,-1,-1,-1,-1
30,20,468.87,211.69,21.60,65.30,-1,-1,-1,-1
30,25,175.62,107.03,78.69,251.07,-1,-1,-1,-1
31,20,465.67,210.84,24.03,66.28,-1,-1,-1,-1
31,25,169.41,104.92,86.86,253.86,-1,-1,-1,-1
32,20,465.86,210.88,23.99,66.40,-1,-1,-1,-1
32,25,154.24,110.67,86.55,253.44,-1,-1,-1,-1
33,20,468.08,209.91,25.86,69.24,-1,-1,-1,-1
33,25,158.37,111.74,81.75,253.39,-1,-1,-1,-1
34,8,319.34,204.30,21.14,59.48,-1,-1,-1,-1
34,20,469.72,211.61,23.64,68.68,-1,-1,-1,-1
34,25,137.99,100.41,95.06,298.31,-1,-1,-1,-1
35,8,320.26,214.23,21.90,51.36,-1,-1,-1,-1
35,20,468.47,211.64,26.03,69.33,-1,-1,-1,-1
35,25,130.53,103.40,85.82,298.00,-1,-1,-1,-1
36,8,319.98,212.69,21.70,53.02,-1,-1,-1,-1
36,20,469.42,213.50,23.74,66.94,-1,-1,-1,-1
36,25,104.96,80.79,115.45,337.44,-1,-1,-1,-1
37,8,320.14,214.35,22.08,51.37,-1,-1,-1,-1
37,20,468.32,211.60,26.08,69.46,-1,-1,-1,-1
37,25,95.46,69.15,109.05,352.55,-1,-1,-1,-1
38,8,319.98,212.69,21.70,53.02,-1,-1,-1,-1
38,20,468.98,211.59,23.52,66.92,-1,-1,-1,-1
38,25,80.24,45.02,137.23,400.67,-1,-1,-1,-1
39,8,320.11,212.64,21.77,52.96,-1,-1,-1,-1
39,20,468.12,209.78,25.89,69.24,-1,-1,-1,-1
39,25,61.61,45.22,123.41,404.04,-1,-1,-1,-1
39,117,193.58,197.59,27.61,83.28,-1,-1,-1,-1
40,8,319.92,211.24,21.69,54.72,-1,-1,-1,-1
40,20,469.40,209.05,23.79,68.36,-1,-1,-1,-1
40,25,56.31,32.25,131.44,424.26,-1,-1,-1,-1
40,117,195.70,195.65,25.83,84.51,-1,-1,-1,-1
