train_object1.tfrecords,195
train_object2.tfrecords,252
train_object3.tfrecords,381
train_object4.tfrecords,490
train_object5.tfrecords,376
train_object6.tfrecords,171
train_object7.tfrecords,233
train_object8.tfrecords,137
train_object9.tfrecords,80
train_object10.tfrecords,40
train_object11.tfrecords,161
train_object12.tfrecords,322
train_object13.tfrecords,247
train_object14.tfrecords,50
train_object15.tfrecords,272
train_object16.tfrecords,250
train_object17.tfrecords,334
train_object18.tfrecords,316
train_object19.tfrecords,271
train_object20.tfrecords,80
train_object21.tfrecords,77
train_object22.tfrecords,57
train_object23.tfrecords,98
train_object24.tfrecords,119
